sentence1_kin,sentence2_kin,human_score
"Izo gare zigizwe n ' imihanda 16 ya gari ya moshi , hamwe n ' umwenda wa gari ya moshi wo hagati .",Gusa bibiri gusa mu bibuga 29 by' umurongo wa Yamanote ntibihuza n ' izindi gari ya moshi cyangwa za gari ya moshi .,0.47
"Niba wifuza ibindi bisobanuro, reba uru rubuga:","Gerageza ku rubuga rwa www.allmusic.com, ni rwo rubuga nkunda cyane.",0.5
Muri iyo myaka ibiri yize muri kaminuza y'ubugeni ya # 8 y'i Yerevan .,"1956-58 - yize muri Yerevan Fine Arts and Theatre Institute , akora akazi ko gucuranga .",0.72
Hari ahantu ho muri Jeworujiya hatangajwe amakuru y'inkubi y'umuyaga n'iy' imvura y' imvura .,Hari ahantu ho muri Jeworujiya hatumiwe ubutumwa bw' amakuba y' umuyaga .,0.75
Ku babyeyi batanga inama yo gukuramo inda ni ibisazi!,Tugiye kujya mu bitaro muri iki gitondo. 2015 kandi turacyafite abo kurwanya amahitamo bagombye kwirukanwa.,0.53
"Muri rusange , ibihugu 46 byari byaritabiriye imikino yo muri Amsterdam .","Abasirikare batanze imfashanyo y'ibihugu 17 , ni ukuvuga abagera ku 9.900 muri rusange .",0.31
Ndi gukora igitambo gikomeye kugira ngo mbone uko mbitanga.,"Iyo mbaye nkwifurije amakuru, mba mpaye ubuzima bwanjye igitambo gikomeye.",0.88
Hari abandi baririmbyi bo mu kinyejana cya 20 bakoresheje cyane iyo ndirimbo .,Ni yo mpamvu hari abanditsi benshi bashoje ibihangano byabo birebire mu ndirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo z'indirimbo .,0.53
Hari isano ridahinyuka hagati y'uburenganzira abagore bafite bwo guhitamo n'ibipimo by'ubwicanyi #uburenganzira bw'abagore,@SenTedCruz Umwuga mwiza kuri @Todayshow. #Scotus yagombaga gukurwaho mu myaka 41 ishize ubwo basabaga kwica abana.,0.5
Abantu benshi bahagaze imbere y'igare ry'ibiribwa rifite umumalayika hanze.,Umugabo ufite imyenda y'impu n'imyenda y'impu atwara umutwaro munini ku mugongo.,0.12
Nta cyo baba bafite badafite wowe.,"Nyuma yaho, baraguye.",0.53
Ibice bye ni byo nahitagamo mu gitabo.,Nkunda cyane abantu bashya bo muri iki gitabo n'ukuntu baje mu nkuru kandi nishimiraga cyane abantu batandukanye bo muri iyo nkuru.,0.47
"Olivia, Liza na Gil bose ni bamwe mu bagize umuryango w'abapfapfa b'abapfapfa, kandi bifuza ko Lucy yajyana na bo.","Olivia, umutoza mukuru, yatumiye Lucy iwe kugira ngo amufashe kwihanganira agahinda yari afite.",0.53
"Cullen yamwifuzaga cyane, maze igihe umukobwa we yafatwaga, ahinduka igikoko cy'igihangange.",Hanyuma umukobwa we yarafashwe maze akenera Taige kugira ngo amukize.,0.53
@gailtalk @trscoop birumvikana ko byari bimeze.,"@DavidLimbaugh - ndabyemera, uzisubireho... ariko numvise ko itazahita... izakomeza kugaruka!",0.19
Pena yakundaga kuvuga igikerewole cyo muri Cape Verde n'umuryango we .,"Paul Pena yari umuririmbyi w'Umunyamerika , umwanditsi w'indirimbo n'umucuranzi wa gitari akomoka mu gihugu cya Cape Verde .",0.44
Umugabo n'umugore bakomeye muri iki gitabo ni Hope na Karl.,"Nkunda Hope na Karl, abo bantu sinakundaga cyane.",0.53
Yesu wo mu nkengero z'umugi ku munsi w'ibyatsi ntiyaba ari we.,Umunsi w'Ibyatsi Ibisi Yesu wa Suberbia,0.62
"Hariho n'ibyo utsinda, hari n'ibyo utakaza.",Freddy yari gutsinda Jason.,0.44
Ushobora kuba urimo ugirirwa nabi uko byagenda kose.,cyane cyane urimo kubura uko byagenda kose,0.84
"None se 154, ni iki cyiyongereyeho 10 hejuru ya 154?",10 ku 154 ni iki?,0.78
Umukobwa wanjye yumva amagambo y'urukundo.,"Oya, nta gushidikanya ko abavandimwe bo mu muryango wa Chemical bazabigenza batyo.",0.19
"Kuri Riley, gukemura ibibazo byinshi mu isi irangwa n'ibyifuzo by'abantu n'iby'abanzi b'inshyashya byari kuba bikomeye bihagije.",Nkunda ukuntu Riley yagiye ahinduka mu gihe cyose cy'iyo nkuru.,0.59
Umubyeyi n'umukobwa bamurika imbere y'amazi.,"Umukobwa w'ingeri nziza y'umukobwa uri mu nzu nziza cyane, ashyiraho ifoto.",0.41
Ikiganiro cyiza na @BobbyJindal uyu munsi!,"@realDonaldTrump yashyizeho ""Racistublicans"". Ishyaka rya politiki ry'abajura b'ibikomangoma. #Racistublicans #Republicans",0.28
Umwaka wa 1966 wari umwaka usanzwe watangiraga ku wa Gatandatu w' umwaka wa 1966 mu kalendari ya Gregori .,Umwaka wa 1950 watangiraga ku cyumweru cyo mu kalendari ya Gregoriani .,0.62
"Abantu nkunda cyane muri icyo gitabo ni Hal na Leif, abunganira Atticus ari bo bantu b'ibyamamare n'abanyarugomo.","Nk'uko nari mbizi, muri iki gitabo harimo Leif, umujyanama w'abanzi b'amaraso.",0.59
Nta kintu cyiza cyangwa kibi mfite cyo kubivugaho.,Nk'uko nabivuze: ni byiza cyane ku buryo bidashobora kuba ukuri.,0.34
"Ibyo byose ni impamvu z'ingenzi zatumye nsoma iyi nkuru, ariko ngomba kuba inyangamugayo.","Kubera ko adashobora kuvugana n'umuntu, uburyo ahinduka buhoro buhoro kugira ngo amubere Amaranthe, birashimisha cyane gusoma.",0.34
Miach ni isoko nziza cyane y'urukundo.,"Ku bw'amahirwe ye, ni ho Miach yaje.",0.47
"Yateye Long Island , New York ku itariki ya 23 Nzeri , maze yangiza ibintu byinshi mu Bwongereza .","Ku itariki ya 21 n'iya 22 Nzeri , inkubi y'umuyaga yateye ku birwa bya Virgin na Puerto Rico , ituma habaho imimerere mibi n'abapfuye .",0.41
Abagabo batatu n'umugore umwe bicaye ku meza hanze banywa.,Abantu batatu bicaye ku meza yo hanze imbere y'inzu y'ikawa.,0.59
Inyenyeri ebyiri ku gitekerezo cyiza.,"Mu by'ukuri, iyi nkuru yose ni nziza cyane!",0.5
"Iyo urebye ko hari igiti cy' igiti cy' igiti cy' igiti cy' igiti cy' igiti cy' igiti cy' igiti cy' igiti cy' igiti cy' igiti cy' igiti cy' igiti cy' igiti cy' igiti cy' igiti cy' igiti cy' igiti cy' igiti cy' igiti cy' igiti cy' igiti cy' igiti cy' igiti cy' igiti cy' igiti cy' igiti cy' igiti cy' igiti cy' igiti cy' igiti cy' igiti cy' igiti cy' igiti cy' igiti cyubutse , uba wabonye ko kigira igiti cy' igiti cy' igiti cy' igiti cy' igiti cy' igiti cy' igiti cy' igiti cy' igiti cy' igiti cyubutse .","Iyo umuntu afashe urubaho rw' imbaho cyangwa urubaho rw' imbaho , aba arinze umubiri gukubita hamwe , ahuriza hejuru y' imbaho z' imbaho .",0.88
Abafana bashobora kuba abantu batandukanye.,"Abantu bashobora kuba ari ab'imbaraga, ariko nanjye nkwiriye kubimenya.",1.0
Umugabo wambaye umwenda w'imyenda miremire ahagaze imbere y'uruzi ari kumwe n'abagore babiri.,Umugabo ufite umwenda w'umukara n'amahuzu y'imbere y'umukara afite umwenda w'umurongo hafi y'uruzi.,0.53
Imirimo yo gushyiraho amoko y' amoko y' amoko y' amoko y' amoko y' amoko y' amoko y' amoko y' amoko y' amoko y' amoko y' amoko y' amoko y' amoko y' amoko y' amoko y' amoko y' amoko y' amoko y' amoko y' amoko y' amoko y' amoko y' amoko y' amoko y' amoko y' amoko y' amoko y' amoko y' amoko y' amoko y' amoko y' amoko y' amoko y' amoko y' amoko y' amoko y' amoko y' amoko y' amoko y' amoko y' amoko y' amoko y' amoko y' amoko y' amoko y' amoko y' amoko y' amoko y' amoko y' amoko y' amoko y' amoko y' amoko y' amoko y' amoko y' amoko y' amoko y' amoko y' amoko y' amoko y' amoko y',Bashobora kuba mu bagize umuryango wa Plantae cyangwa se bahuje n' umuryango wa Protista .,0.59
Jya umenya icyo wakora maze ugende ku rubuga rwifashishije ibyo bintu.,"Urubuga rwacu rwa interineti, www.amazon.com, rufite amahitamo meza cyane y'ibikoresho.",0.5
"Bityo rero, abagore babaha amafaranga.",Akora cyane kugira ngo abone amafaranga ye!,0.25
"Umugabo mu itsinda ry'abantu bigaragambya, arimo arataka muri mikoro.",abantu barigaragambya bakoresheje imivugire n'amajwi.,0.78
Jim Richards Mark Skaife Nissan Skyline BNR32 GT-R 161 impande 6h 19m 14.80s,Peter Brock Jim Richards Holden VC Commodore 163 amasegonda 6h 47m 52.7s,0.5
Abantu batatu bapfuye mu gitero cy'igisasu cya Marathon muri Amerika,Abatalibani bahakana uruhare mu gitero cya bombe cyabereye i Boston,0.62
"Ukurikije uwo muntu, ushobora kumwibwira mu matwi.","Mujye mumusuhuza mu ijosi no mu matwi, mumuseke amagambo.",0.38
Ifoto y'umugabo wishimye utwaye imodoka isa n'iy'ikamyo nini.,Abana bishimira gukora ikintu gishishikaje mu gihe bitegura gufotorwa.,0.28
"Ndi kwica umwana wanjye uyu munsi, sinshishikazwa n'uko ari bibi cyangwa ari byiza!","@SuePalmers @LSDsr Ntacyo bintwaye. Si jye uhitamo, kandi si wowe uhitamo, guhitamo icyo undi mugore azahitamo. #feminism",0.53
"Abasirikare batangajwe n'uko bari bagiye kurwana, bahise bajya ku rugamba.",Abasilikare batangajwe n'uko bahise bahitaga bahindura imitwe y'ingabo.,0.78
"Mu muryango wari wuguruye, umucyo w'ijuru warasaga.",ijuru ryarabagiranaga mu muryango.,0.62
"Nyamara, inkuru ivuga iby'igitabo cya Titanic ni yo igaragaza ko ibimenyetso by'icyo gitabo byasuzumwe neza.",Ubushakashatsi bushya bugaragaza ko inkuru ya Titanic idashobora gusuzumwa neza.,0.69
"Hari aho nasomye ko hari filime nshya izajya hanze mu mwaka wa 2008, cyangwa umwaka utaha.",Hari aho nasomye ko umwaka utaha cyangwa mu mwaka wa 2008 hazaba hari filime nshya.,0.94
"Ibuka umubyeyi, wihorere se.",Naje gusigira mama umwenda munini.,0.25
Ariko uwo mukobwa ntiyari afite icyizere nk'icyo.,Ariko uwo mukobwa ntiyari afite icyo cyizere.,0.69
Abana baguzwe n'abantu babaga barera amatungo.,Bagura abana bakabarera nk'amatungo.,0.69
Hari amafi menshi mu nyanja... komeza ushakishe,"Genda, nshuti, mu nyanja harimo amafi menshi.",0.75
Desdemona ni umwe mu myerekano yo mu kirere cya Uranusi .,Desdemona ni ukwezi kwegereje Urani .,0.88
"Fiordiligi , wari wababaye cyane bitewe n' uko ibintu byagenze , yafashe umwanzuro wo kujya mu gisirikare agasanga uwo mugore yari yarasezeranye .","Martin yiyemeje kugaragaza ko ari umuntu mwiza , maze ajya gushaka ibyamubayeho .",0.47
Icyitonderwa: Ntekereza ko nzasoma igitabo cya kabiri ntabonye ibintu byinshi byo gusoma.,Sinzigera ndangiza iki gitabo.,0.5
"Urukundo rwa Flint na Neryn ruracyari ikintu cy'ingenzi cyane, kuko rwatangiye kwiyongera buhoro buhoro.",Tali na we yankoze ku mutima cyane igihe yavugaga ko yibandaga ku ntambara yo kurwanya umwami gusa kandi ko yari akomeje kuba umugome kuri Neryn.,0.31
Umugabo n'abagore babiri basekera kamera bari bicaye ku divayi y'ubururu.,Umugabo n'umugore basekera kamera bari bahagaze mu gikoni.,0.57
"ariko niba uvuga amafaranga menshi, ninde uzi",Umva umukobwa uri hejuru y'iki- azi icyo avuga!,0.31
Jya ukora filimi cyangwa umuzika.,Shyira umucanga mu kintu cyitwa vaseline.,0.12
"Icyakora, hari ibibazo bimwe na bimwe byo mu rwego rw'umuteguro n'ibikorerwa mu rwego rw'imikorere mu rwego rw'imyanya y'ububiko.","Ariko kandi, mu bikorwa, ibikorwa byo gushyira mu bikorwa biracyatangaza ibibazo by'ubuyobozi n'ibikorerwa mu bibuga ubwabyo.",0.72
"Ni ikibazo cyiza cyane, ndategereje ibisubizo.",Ndategereje ibisubizo by'ingirakamaro by'umuntu uwo ari we wese.,0.84
Nishimira ko yakinaga na Johnny Depp muri za filimi ze hafi ya zose.,Johnny Depp ni umuntu mwiza cyane kandi ndi umufana we ukomeye.,0.62
Nta kintu na kimwe cyaguca intege mu gihe wakinaga uyu mukino uteje akaga.,"mu mukino uteje akaga nk'uwo, ibidutesha umutwe byose ntibihoraho.",0.78
"Bityo rero, abagore babaha amafaranga.",Amafaranga yanjye ajyana natwe bakobwa.,0.34
Ntekereza ko ngiye gutora umugore w'umusore w'umukunzi wa Monica Lewinsky,"Uko bigaragara, abafana ba @BernieSanders ntibakunda kubona izina rya Hillary rigaragara. #SheWhoShallNotBeNamedBecauseSheWins",0.25
Mubaze gusa kandi mwirinde.,"Jya wiringira, ariko ntukigire ubwibone.",0.66
Abakozi bakora mu mirimo y'ubwubatsi bajya kuruhuka hanze y'inyubako.,Abakozi benshi bakora mu mirimo y'ubwubatsi bareba ahantu hatera abantu gutembera,0.47
